_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight
gatlich01,"September 3, 1967","Elizabeth, New Jersey",0.7,51.3,24.9,66.0,700,17.6,10.3,5.3,32.1,51.7,Old Dominion University,16th overall,1st round,Golden State Warriors,1991,6-10,"Elizabeth in Elizabeth, New Jersey",Chris Gatling,Center and Power Forward,Left,220lb
gattike01,"May 23, 1964","Wilmington, North Carolina",0.9,52.0,8.3,64.9,494,13.0,7.9,4.7,16.9,52.0,Old Dominion University,55th overall,3rd round,Phoenix Suns,1986,6-8,"New Hanover in Wilmington, North Carolina",Kenny Gattison,Power Forward,Right,225lb
gayru01,"August 17, 1986","Baltimore, Maryland",2.2,45.6,34.8,79.6,879,16.8,17.6,5.9,54.9,49.1,University of Connecticut,8th overall,1st round,Houston Rockets,2006,6-8,"Archbishop Spalding in Severn, Maryland",Rudy Gay,Power Forward and Small Forward,Right,230lb
gaydaed01,"May 11, 1927",,0.9,41.3,,75.0,15,-,3.7,2.6,0.6,,Washington State University,1950 NBA Draft,2nd roun,Tri-Cities Blackhawks,,6-4,"Hoquiam in Hoquiam, Washington",Ed Gayda,Guard/Forward,Right,210lb
gazean01,"July 24, 1965","Melbourne, Australia",0.4,38.1,37.5,100.0,26,9.6,1.7,0.5,0.1,48.8,Seton Hall University,,,,,6-7,"Albert Park in Melbourne, Australia",Andrew Gaze,Shooting Guard,Right,205lb
gbinimi01,"June 5, 1992","Hartford, Connecticut",0.2,10.0,0.0,100.0,9,-2.1,0.4,0.3,-0.1,10.0,"Duke University, Syracuse University",49th overall,2nd round,Detroit Pistons,2016,6-7,"Benedictine College Prep in Richmond, Virginia",Michael Gbinije,Shooting Guard,Right,200lb
gearyre01,"August 31, 1973","Trenton, New Jersey",1.1,34.4,32.8,49.3,101,7.3,2.1,0.8,0.6,38.8,University of Arizona,56th overall,2nd round,Cleveland Cavaliers,1996,6-2,"Mater Dei in Santa Ana, California",Reggie Geary,Point Guard,Right,187lb
geeal01,"May 29, 1987","Riviera Beach, Florida",1.1,43.4,32.5,75.4,417,10.7,6.6,3.3,9.7,47.4,University of Alabama,,,,,6-6,"William T. Dwyer in Palm Beach Gardens, Florida",Alonzo Gee,Small Forward and Shooting Guard,Right,225lb
geigema01,"September 10, 1969","Salem, Massachusetts",0.7,49.9,23.2,72.8,552,15.2,9.2,5.7,28.4,50.1,"Auburn University, Georgia Institute of Technology",42nd overall,2nd round,Miami Heat,1992,7-0,"Countryside in Clearwater, Florida",Matt Geiger,Center,Right,243lb
gelabmi01,"May 22, 1983","Pointe Noire, Guadeloupe",0.8,47.0,31.6,81.5,145,10.5,4.6,2.3,3.0,50.8,,48th overall,2nd round,Seattle SuperSonics,2005,6-7,,Mickael Gelabale,Shooting Guard and Small Forward,Right,215lb
georgde01,"August 29, 1977","Minneapolis, Minnesota",0.9,39.2,34.3,72.1,630,10.6,5.6,3.1,18.2,45.6,Augsburg College,23rd overall,1st round,Los Angeles Lakers,1999,6-8,"Benilde-Saint Margaret in St. Louis Park, Minnesota",Devean George,Small Forward,Right,220lb
georgja01,"November 13, 1928","Swissvale, Pennsylvania",4.3,36.4,,70.4,506,12.2,10.2,4.2,17.7,,La Salle University,,1953 NBA Draf,Philadelphia Warriors,,6-2,"St. John's College in Washington, District of Columbia",Jack George,Point Guard and Shooting Guard,Right,190lb
georgpa01,"May 2, 1990","Palmdale, California",3.3,43.3,37.8,84.4,604,19.2,19.8,6.4,65.2,50.9,"California State University, Fresno",10th overall,1st round,Indiana Pacers,2010,6-9,"Knight in Palmdale, California",Paul George,Small Forward and Shooting Guard,Right,220lb
georgta01,"May 29, 1968","Newark, New Jersey",1.8,41.4,7.1,82.0,177,10.7,4.2,1.0,1.3,41.5,University of Connecticut,22nd overall,1st round,New Jersey Nets,1990,6-5,"Union Catholic Regional in Scotch Plains, New Jersey",Tate George,Shooting Guard and Point Guard,Right,190lb
georgma01,"March 28, 1994","Miami, Florida",0.2,41.8,29.4,71.0,47,7.5,1.6,0.5,0.3,46.4,Georgia Institute of Technology,,,,,6-5,"North Clayton in College Park, Georgia",Marcus Georges-Hunt,Shooting Guard,Right,216lb
gerargu01,"July 27, 1953","Uniontown, Pennsylvania",1.3,43.8,27.3,69.6,446,13.8,8.4,4.1,11.1,43.9,University of Virginia,50th overall,3rd round,Portland Trail Blazers,1975,6-8,"Laurel Highlands in Uniontown, Pennsylvania",Gus Gerard,Small Forward,Right,200lb
gervide01,"March 28, 1963","Detroit, Michigan",0.5,43.5,22.6,76.4,77,16.3,8.8,2.3,2.1,44.1,University of Texas at San Antonio,90th overall,4th round,Philadelphia 76ers,1985,6-8,"Martin Luther King in Detroit, Michigan",Derrick Gervin,Power Forward,Right,200lb
gervige01,"April 27, 1952","Detroit, Michigan",2.6,50.4,27.1,84.1,1060,21.4,25.1,5.3,116.3,50.7,Eastern Michigan University,40th overall,3rd round,Phoenix Suns,1974,6-7,"Martin Luther King in Detroit, Michigan",George Gervin,Shooting Guard and Small Forward,Right,180lb
getchgo01,"August 14, 1920","Abington, Pennsylvania",0.0,0.0,,100.0,16,-,0.3,-,-0.1,,Temple University,,,,,6-4,"Jenkintown in Jenkintown, Pennsylvania",Gorham Getchell,Center,Right,205lb
gianejo01,"June 10, 1950","Stockton, California",1.5,47.0,-,70.2,541,11.7,7.8,5.9,23.0,47.0,University of the Pacific,20th overall,2nd round,Houston Rockets,1972,6-10,"Edison in Stockton, California",John Gianelli,Center,Right,220lb
gibbsdi01,"December 20, 1948","Ames, Iowa",0.8,40.2,,79.9,333,9.8,5.2,1.9,2.6,,University of Texas at El Paso,49th overall,3rd round,Chicago Bulls,1971,6-5,"Ames in Ames, Iowa",Dick Gibbs,Small Forward,Right,210lb
gibsoda01,"February 27, 1986","Houston, Texas",2.0,40.2,40.7,78.0,397,10.8,7.8,2.0,16.0,51.2,University of Texas at Austin,42nd overall,2nd round,Cleveland Cavaliers,2006,6-2,"Jones in Houston, Texas",Daniel Gibson,Shooting Guard and Point Guard,Right,190lb
gibsode01,"August 25, 1923",,2.9,31.4,,71.8,44,-,6.4,-,2.7,,Western Kentucky University,,1948 BAA Draf,Minneapolis Lakers,,5-11,"Bradley in Cleveland, Tennessee",Dee Gibson,Forward/Guard,Right,175lb
gibsoho01,"December 5, 1921",,1.2,34.4,,65.6,32,-,5.5,-,0.0,,Creighton University,,,,,6-5,,Hoot Gibson,Forward/Center,Right,198lb
gibsojo01,"November 8, 1987","West Covina, California",1.4,41.5,36.8,72.4,21,11.8,6.7,1.2,0.0,50.4,New Mexico State University,,,,,6-2,"Calvary Christian in San Fernando, California",Jonathan Gibson,Point Guard,Right,185lb
gibsome01,"December 30, 1940","Cordova, North Carolina",0.7,30.0,,50.0,9,2.5,1.4,0.4,-0.1,,Western Carolina University,16th overall,2nd round,Los Angeles Lakers,1963,6-3,"Rockingham in Rockingham, North Carolina",Mel Gibson,Guard,Right,180lb
gibsomi01,"October 27, 1960","Williamsburg County, South Carolina",0.2,38.7,-,67.9,64,8.6,1.6,1.7,0.3,38.7,University of South Carolina Upstate,44th overall,2nd round,Washington Bullets,1982,6-10,"Hemingway in Hemingway, South Carolina",Mike Gibson,Power Forward,Right,205lb
gibsota01,"June 24, 1985","Brooklyn, New York",1.0,51.2,21.2,70.9,737,15.5,9.8,6.4,49.8,51.4,University of Southern California,26th overall,1st round,Chicago Bulls,2009,6-9,"Calvary Christian in San Fernando, California",Taj Gibson,Power Forward,Right,232lb
giddejr01,"February 13, 1985","Oklahoma City, Oklahoma",0.3,47.6,0.0,56.5,38,9.7,1.9,1.4,0.1,47.6,"University of Kansas, University of New Mexico",30th overall,1st round,Boston Celtics,2008,6-5,"John Marshall in Oklahoma City, Oklahoma",J.R. Giddens,Small Forward,Right,215lb
gildetr01,"January 24, 1985","Dallas, Texas",0.0,100.0,-,-,2,30.9,1.0,0.5,0.0,100.0,"McNeese State University, Northwestern State University",,,,,6-9,"DeSoto in DeSoto, Texas",Trey Gilder,Small Forward,Right,185lb
gilesha01,"April 22, 1998","Winston-Salem, North Carolina",1.5,50.3,0.0,63.7,58,14.4,7.0,3.8,1.0,50.3,Duke University,20th overall,1st round,Portland Trail Blazers,2017,6-10,"Forest Trail Academy in Kernersville, North Carolina",Harry Giles,Power Forward,Right,240lb
gilgesh01,"July 12, 1998","Toronto, Canada",3.3,47.6,36.7,80.0,82,13.4,10.8,2.8,3.3,51.2,University of Kentucky,11th overall,1st round,Charlotte Hornets,2018,6-6,"Hamilton Heights Christian HS in Chattanooga, Tennessee",Shai Gilgeous-Alexander,Point Guard,Right,181lb
gilled01,"August 16, 1978","Aurora, Colorado",1.2,36.1,32.0,84.7,187,9.9,3.1,1.1,1.9,42.4,Weber State University,,,,,6-0,"Overland in Aurora, Colorado",Eddie Gill,Point Guard,Right,190lb
gillke01,"May 25, 1968","Chicago, Illinois",3.0,43.4,30.0,75.4,966,14.7,13.4,4.1,47.8,44.8,University of Illinois at Urbana-Champaign,5th overall,1st round,Charlotte Hornets,1990,6-5,"Rich Central in Olympia Fields, Illinois",Kendall Gill,Shooting Guard and Small Forward,Right,195lb
gillebe01,"September 19, 1965","Detroit, Michigan",0.1,31.6,-,56.5,24,5.0,1.0,1.0,0.0,31.6,Georgetown University,,,,,7-0,"Central in Detroit, Michigan",Ben Gillery,Center,Right,235lb
gilleja01,"October 1, 1947",,0.0,0.0,-,100.0,2,0.8,1.0,3.5,-0.1,0.0,Montana State University,166th overall,12th round,Los Angeles Lakers,1969,6-6,,Jack Gillespie,Forward,Right,215lb
gillege01,,,0.1,9.1,,66.7,14,-,0.6,-,0.2,,Saint Mary's College of California,,,,,6-2,,Gene Gillette,Forward,Right,205lb
gilliar01,"May 28, 1964","Pittsburgh, Pennsylvania",1.2,48.9,0.0,77.6,929,16.4,13.7,6.9,58.1,48.9,"University of Nevada, Las Vegas",2nd overall,1st round,Phoenix Suns,1987,6-9,"Bethel Park in Bethel Park, Pennsylvania",Armen Gilliam,Power Forward and Small Forward,Right,230lb
gillihe01,"May 5, 1946","Winston-Salem, North Carolina",3.8,44.1,,79.2,578,13.8,10.8,3.8,20.8,,Purdue University,163rd overall,13th round,Chicago Bulls,1968,6-3,"Atkins in Winston-Salem, North Carolina",Herm Gilliam,Point Guard and Shooting Guard,Right,190lb
gilmoar01,"September 21, 1949","Chipley, Florida",2.3,58.2,15.0,69.8,1329,21.4,18.8,12.3,189.7,58.2,"Gardner-Webb University, Jacksonville University",117th overall,7th round,Chicago Bulls,1971,7-2,"Carver in Dothan, Alabama",Artis Gilmore,Center,Left,240lb
gilmowa01,"February 27, 1947",,0.4,42.6,,46.2,27,6.4,2.1,2.7,0.2,,Fort Valley State University,25th overall,2nd round,Portland Trail Blazers,1970,6-6,,Walt Gilmore,Power Forward,Right,225lb
gilmuch01,"August 13, 1922",,1.5,32.5,,60.9,239,-,5.8,4.7,15.1,,University of Washington,,,,,6-4,,Chuck Gilmur,Forward/Center,Right,225lb
ginobma01,"July 28, 1977","Bahia Blanca, Argentina",3.8,44.7,36.9,82.7,1057,20.2,13.3,3.5,106.4,52.0,,57th overall,2nd round,San Antonio Spurs,1999,6-6,,Manu Ginobili,Shooting Guard,Left,205lb
giricgo01,"June 20, 1977","Zagreb, Croatia",1.5,44.2,36.8,82.3,384,11.8,9.6,2.5,8.0,48.6,,40th overall,2nd round,Dallas Mavericks,1999,6-6,,Gordan Giricek,Small Forward and Shooting Guard,Right,210lb
givenja01,"September 21, 1956","Lexington, Kentucky",0.9,40.1,0.0,79.1,156,12.3,6.7,2.9,4.3,40.1,University of Kentucky,16th overall,1st round,Atlanta Hawks,1978,6-5,"Bryan Station in Lexington, Kentucky",Jack Givens,Small Forward,Left,205lb
gladnmi01,"July 26, 1986","Birmingham, Alabama",0.2,42.4,-,50.0,26,9.5,2.2,2.2,0.2,42.4,Alabama A&M University,,,,,6-11,"Sylacauga in Sylacauga, Alabama",Mickell Gladness,Power Forward,Right,220lb
glamage01,"June 7, 1918","Johnstown, Pennsylvania",1.7,24.8,,76.4,11,-,9.3,-,0.2,,University of North Carolina,,,,,6-6,"Allentown Preparatory School in Allentown, Pennsylvania",George Glamack,Center/Forward,Right,225lb
glassge01,"November 12, 1967","Greenwood, Mississippi",1.5,43.3,23.6,64.3,201,13.3,7.7,2.5,1.8,44.2,"Delta State University, University of Mississippi",20th overall,1st round,Minnesota Timberwolves,1990,6-5,"Amanda Elzy in Greenwood, Mississippi",Gerald Glass,Small Forward,Right,221lb
glennmi01,"September 10, 1955","Rome, Georgia",1.6,54.2,28.6,85.5,593,15.1,7.6,1.2,25.3,54.3,Southern Illinois University,23rd overall,2nd round,Chicago Bulls,1977,6-2,"Coosa in Rome, Georgia",Mike Glenn,Shooting Guard and Point Guard,Right,175lb
glickno01,"November 10, 1927","Los Angeles, California",0.0,100.0,,-,1,-,2.0,-,0.1,,Loyola Marymount University,,,,,6-7,"Manual Arts in Los Angeles, California",Normie Glick,Forward,Right,190lb
gloucge01,"January 10, 1960","Triavna, Bulgaria",0.7,40.2,100.0,57.4,49,5.7,4.9,3.3,-0.5,40.4,,148th overall,7th round,Phoenix Suns,1985,6-8,"Jambol in Jambol, Bulgaria",Georgi Glouchkov,Power Forward,Right,235lb
glovecl01,"November 1, 1947","Horse Cave, Kentucky",0.2,45.5,,46.9,25,14.0,2.6,1.8,0.3,,Western Kentucky University,10th overall,1st round,Boston Celtics,1971,6-8,,Clarence Glover,Power Forward,Right,210lb
glovedi01,"October 22, 1978","Marietta, Georgia",1.5,41.1,31.7,75.6,294,12.8,8.2,3.1,5.8,44.5,Georgia Institute of Technology,20th overall,1st round,Atlanta Hawks,1999,6-5,"Cedar Grove in Ellenwood, Georgia",Dion Glover,Shooting Guard,Right,228lb
glynian01,"August 21, 1981","Hania, Greece",0.1,47.1,-,50.0,13,-3.3,1.3,0.6,-0.2,47.1,,58th overall,2nd round,Detroit Pistons,2003,7-1,,Andreas Glyniadakis,Center,Right,280lb
gminsmi01,"August 3, 1959","Monroe, Connecticut",1.3,46.5,12.2,84.3,938,16.3,11.7,6.9,55.9,46.5,Duke University,7th overall,1st round,New Jersey Nets,1980,6-11,"Masuk in Monroe, Connecticut",Mike Gminski,Center,Right,250lb
goberru01,"June 26, 1992","Saint-Quentin, France",1.3,62.9,0.0,63.1,406,21.5,11.1,10.5,52.8,62.9,,27th overall,1st round,Denver Nuggets,2013,7-1,,Rudy Gobert,Center,Right,245lb
godfrda01,"June 14, 1967","Fort Wayne, Indiana",0.0,41.7,0.0,75.0,11,18.5,1.2,0.2,0.1,41.7,University of Evansville,,,,,6-10,"Stillman Valley in Stillman Valley, Illinois",Dan Godfread,Center,Right,250lb
golato01,"January 13, 1933","Philadelphia, Pennsylvania",4.2,43.1,,76.0,698,14.1,11.3,8.0,53.2,,La Salle University,,1955 NBA Draft,Philadelphia Warriors,,6-6,"La Salle College in Philadelphia, Pennsylvania",Tom Gola,Shooting Guard and Small Forward,Right,205lb
goldfbe01,"September 6, 1913",,0.0,0.0,,50.0,2,-,1.0,-,0.0,,George Washington University,,,,,6-1,,Ben Goldfaden,Forward,Right,185lb
goldwan01,"September 6, 1971","West Palm Beach, Florida",2.8,40.7,38.6,79.2,266,12.7,6.3,1.3,6.4,47.9,University of Houston,52nd overall,2nd round,Phoenix Suns,1994,6-1,"Suncoast in Riviera Beach, Florida",Anthony Goldwire,Point Guard,Right,182lb
gomesry01,"September 1, 1982","Waterbury, Connecticut",1.5,44.5,34.9,79.9,487,12.5,10.1,4.6,19.4,48.4,Providence College,50th overall,2nd round,Boston Celtics,2005,6-7,"Wilby in Waterbury, Connecticut",Ryan Gomes,Power Forward and Small Forward,Right,250lb
gondrgl01,"August 30, 1955","Boulder, Colorado",1.4,47.3,14.3,72.4,435,13.7,5.8,4.5,15.9,47.4,"University of Nevada, Las Vegas",26th overall,2nd round,New York Knicks,1977,6-6,"Boulder in Boulder, Colorado",Glen Gondrezick,Power Forward and Small Forward,Right,218lb
gondrgr01,"January 19, 1963","Boulder, Colorado",1.3,43.8,25.0,68.7,91,11.1,5.0,1.6,0.8,44.7,Pepperdine University,77th overall,4th round,Phoenix Suns,1986,6-5,"Boulder in Boulder, Colorado",Grant Gondrezick,Shooting Guard,Right,205lb
goodedr01,"September 24, 1981","Oakland, California",1.1,46.2,25.7,76.0,790,16.3,11.0,7.1,43.9,46.8,University of Kansas,4th overall,1st round,Memphis Grizzlies,2002,6-10,"El Cerrito in El Cerrito, California",Drew Gooden,Small Forward and Center and Power Forward,Right,250lb
goodrga01,"April 23, 1943","Los Angeles, California",4.7,45.6,,80.7,1031,16.7,18.6,3.2,76.3,,"University of California, Los Angeles",,1965 NBA Draft,Los Angeles Lakers,,6-1,"Polytechnic in Sun Valley, California",Gail Goodrich,Shooting Guard and Point Guard,Left,170lb
goodrst01,"March 18, 1976","Philadelphia, Pennsylvania",0.5,32.1,33.3,55.6,21,2.7,1.1,1.2,-0.2,33.9,Princeton University,,,,,6-10,"William Penn Charter School in Philadelphia, Pennsylvania",Steve Goodrich,Power Forward and Small Forward,Right,220lb
goodwar01,"August 17, 1994","Little Rock, Arkansas",1.2,42.9,23.6,70.0,165,11.6,6.3,2.0,1.1,45.5,University of Kentucky,29th overall,1st round,Oklahoma City Thunder,2013,6-5,"Sylvan Hills in Sherwood, Arkansas",Archie Goodwin,Point Guard and Shooting Guard,Right,200lb
goodwbr01,"October 2, 1995","Norcross, Georgia",0.9,26.1,33.3,81.8,16,8.3,1.4,0.2,0.0,30.4,"University of Central Florida, Florida Gulf Coast University",,,,,6-2,"Norcross HS in Norcross, Georgia",Brandon Goodwin,Point Guard,Right,180lb
goodwpo01,"December 22, 1920","Brooklyn, New York",0.3,26.6,,77.5,79,-,4.4,-,0.4,,,,,,,6-2,"St. John's Prep in Brooklyn, New York",Pop Goodwin,Forward/Center,Right,203lb
gordoaa01,"September 16, 1995","San Jose, California",2.2,45.0,32.1,70.7,341,15.3,12.5,6.2,18.0,50.2,University of Arizona,4th overall,1st round,Orlando Magic,2014,6-9,"Archbishop Mitty in San Jose, California",Aaron Gordon,Power Forward and Small Forward,Right,220lb
gordobe01,"April 4, 1983","London, United Kingdom",2.5,43.2,40.1,85.7,744,14.9,14.9,2.5,33.3,49.7,University of Connecticut,3rd overall,1st round,Chicago Bulls,2004,6-3,"Mount Vernon in Mount Vernon, New York",Ben Gordon,Shooting Guard,Right,200lb
gordodr01,"July 12, 1990","San Jose, California",0.2,42.1,0.0,50.0,9,3.7,1.9,2.0,-0.1,42.1,"University of California, Los Angeles, University of New Mexico",,,,,6-9,"Archbishop Mitty in San Jose, California",Drew Gordon,Power Forward,Right,245lb
gordoer01,"December 25, 1988","Indianapolis, Indiana",2.9,42.8,37.4,81.4,629,14.5,16.7,2.5,33.6,51.5,Indiana University,7th overall,1st round,Los Angeles Clippers,2008,6-4,"North Central in Indianapolis, Indiana",Eric Gordon,Shooting Guard and Point Guard,Right,215lb
gordola01,"June 24, 1962","Jackson, Mississippi",1.5,39.1,27.1,76.7,201,9.4,5.6,1.3,-2.7,40.0,University of Louisville,8th overall,1st round,Los Angeles Clippers,1984,6-3,"Jim Hill in Jackson, Mississippi",Lancaster Gordon,Shooting Guard,Right,185lb
gordopa01,"April 8, 1927",,0.8,0.0,,60.0,4,-,0.8,-,-0.1,,University of Notre Dame,1949 BAA Draft,3rd roun,Baltimore Bullets,,6-3,,Paul Gordon,Forward,Right,185lb
gortama01,"February 17, 1984","Lodz, Poland",1.1,55.1,15.0,68.0,806,17.1,9.9,7.9,61.3,55.2,,57th overall,2nd round,Phoenix Suns,2005,6-11,,Marcin Gortat,Power Forward and Center,Right,240lb
gottlle01,"November 28, 1920","New York, New York",0.4,28.8,,64.5,84,-,5.5,-,1.8,,,,,,,5-11,"DeWitt Clinton in Bronx, New York",Leo Gottlieb,Guard,Right,180lb
goudean01,"December 7, 1988","Gainesville, Georgia",0.5,39.3,34.5,87.5,49,8.6,4.0,0.7,0.0,46.7,College of Charleston,46th overall,2nd round,Los Angeles Lakers,2011,6-3,"Stone Mountain in Stone Mountain, Georgia",Andrew Goudelock,Point Guard and Shooting Guard,Right,200lb
govange01,"January 2, 1942","Jersey City, New Jersey",3.2,40.5,20.8,67.8,681,10.2,7.7,10.5,27.0,40.6,Saint Mary of the Plains College,88th overall,11th round,St. Louis Hawks,1964,6-10,"Snyder in Jersey City, New Jersey",Gerald Govan,Power Forward and Center,Right,220lb
govedba01,"April 17, 1928",,1.0,31.6,,67.6,23,7.1,3.3,0.8,0.2,,DePaul University,24th overall,3rd round,Syracuse Nationals,1951,5-11,"Lane Technical in Chicago, Illinois",Bato Govedarica,Point Guard,Right,185lb
grabojo01,"January 15, 1930",,1.8,35.2,,70.0,845,13.5,11.0,8.1,25.5,,,,,,,6-7,"Tuley in Chicago, Illinois",Joe Graboski,Power Forward and Center,Right,195lb
graceri01,"August 20, 1967","Dallas, Texas",0.3,66.7,-,0.0,3,10.8,1.3,0.3,0.0,66.7,"Midland College, University of Oklahoma",67th overall,3rd round,Utah Jazz,1988,6-1,"Wilmer-Hutchins in Dallas, Texas",Ricky Grace,Point Guard,Left,180lb
grahaca01,"June 7, 1944",,0.0,28.6,-,62.5,8,2.2,1.6,1.3,0.0,28.6,Gannon University,,,,,6-2,"Morris in New York, New York",Calvin Graham,Guard,Right,195lb
grahade01,"February 22, 1995","Raleigh, North Carolina",2.6,34.3,28.1,76.1,46,10.3,4.7,1.4,0.5,42.1,University of Kansas,34th overall,2nd round,Atlanta Hawks,2018,6-2,"Brewster Academy in Wolfeboro, New Hampshire",Devonte' Graham,Point Guard,Right,185lb
grahagr01,"November 26, 1970","Indianapolis, Indiana",1.0,40.7,29.0,77.5,207,10.6,4.5,1.1,1.3,43.7,Indiana University,17th overall,1st round,Charlotte Hornets,1993,6-4,"Warren Central in Indianapolis, Indiana",Greg Graham,Shooting Guard,Right,174lb
grahajo01,"June 11, 1982","Wilmington, Delaware",0.5,48.3,30.0,81.5,377,11.0,5.9,2.8,7.8,49.8,"University of Central Florida, Oklahoma State University",16th overall,1st round,Toronto Raptors,2005,6-7,"Brandon in Brandon, Florida",Joey Graham,Small Forward,Right,225lb
grahama01,"February 23, 1945",,1.1,39.8,,65.7,70,8.3,4.7,1.7,0.8,,New York University,11th overall,1st round,Boston Celtics,1967,6-1,"White Plains in White Plains, New York",Mal Graham,Point Guard,Right,185lb
grahaor01,"May 5, 1965","Montgomery, Alabama",0.0,30.0,-,50.0,7,6.7,1.1,1.6,0.0,30.0,"West Texas A&M University, Auburn University at Montgomery",40th overall,2nd round,Miami Heat,1988,6-8,"Sidney Lanier in Montgomery, Alabama",Orlando Graham,Power Forward,Right,220lb
grahapa01,"November 28, 1967","Philadelphia, Pennsylvania",2.0,44.8,33.9,73.9,179,13.7,8.4,2.4,5.7,48.7,Ohio University,,,,,6-6,"Benjamin Franklin in Philadelphia, Pennsylvania",Paul Graham,Shooting Guard,Right,200lb
grahast01,"June 11, 1982","Wilmington, Delaware",0.5,44.6,30.8,76.6,239,8.2,4.0,1.8,1.7,47.7,"University of Central Florida, Oklahoma State University",,,,,6-6,"Brandon in Brandon, Florida",Stephen Graham,Shooting Guard and Small Forward,Right,215lb
grahatr01,"October 28, 1993","Temple Hills, Maryland",0.8,39.6,36.3,71.9,125,8.1,4.1,2.0,2.7,49.2,Virginia Commonwealth University,,,,,6-5,"St. Mary's Ryken in Leonardtown, Maryland",Treveon Graham,Shooting Guard,Right,225lb
grandji01,"October 4, 1960","Elkhart, Indiana",0.3,51.7,52.9,47.6,26,16.5,3.0,1.9,0.4,59.5,"University of Florida, University of South Florida",76th overall,4th round,Washington Bullets,1984,7-0,"Central in Elkhart, Indiana",Jim Grandholm,Power Forward,Right,235lb
grandro01,"July 9, 1964","Los Angeles, California",0.6,40.4,16.7,71.3,105,9.8,2.4,1.6,1.2,41.3,"University of California, Irvine, University of New Orleans",100th overall,5th round,Denver Nuggets,1987,6-6,"Saint Bernard in Playa del Rey, California",Ron Grandison,Power Forward,Right,215lb
grangda01,"April 20, 1983","New Orleans, Louisiana",1.9,43.4,38.0,84.8,586,16.9,16.8,4.9,48.5,50.0,"Bradley University, University of New Mexico",17th overall,1st round,Indiana Pacers,2005,6-9,"Grace King in Metairie, Louisiana",Danny Granger,Small Forward,Right,222lb
grangst01,"October 27, 1961","Montreal, Canada",2.2,41.4,23.5,74.2,80,8.4,4.0,1.0,-0.1,42.1,Villanova University,24th overall,1st round,Cleveland Cavaliers,1983,6-3,"Nazareth Regional in Brooklyn, New York",Stewart Granger,Point Guard,Right,190lb
grantbr01,"March 5, 1972","Columbus, Ohio",1.2,49.0,21.4,74.6,756,14.9,10.5,7.4,54.5,49.1,Xavier University,8th overall,1st round,Sacramento Kings,1994,6-9,"Georgetown in Georgetown, Ohio",Brian Grant,Small Forward and Power Forward and Center,Right,254lb
grantbu01,"May 20, 1927","Superior, Wisconsin",0.9,31.8,,59.0,96,-,2.6,1.9,1.1,,University of Minnesota,1950 NBA Draft,4th roun,Minneapolis Lakers,,6-3,"Central in Superior, Wisconsin",Bud Grant,Forward,Right,195lb
grantga01,"April 21, 1965","Canton, Ohio",5.5,45.0,27.8,77.6,552,13.4,7.9,2.3,12.0,46.2,University of Michigan,15th overall,1st round,Seattle SuperSonics,1988,6-3,"McKinley in Canton, Ohio",Gary Grant,Point Guard,Right,185lb
grantgr01,"August 29, 1966","Trenton, New Jersey",2.7,38.3,28.1,71.0,274,9.9,2.8,0.9,1.6,40.8,Trenton State University,52nd overall,2nd round,Phoenix Suns,1989,5-7,"Central in Trenton, New Jersey",Greg Grant,Point Guard,Right,140lb
grantha01,"July 4, 1965","Augusta, Georgia",1.6,46.9,26.7,70.9,783,12.7,9.9,4.4,36.4,47.3,"Clemson University, University of Oklahoma",12th overall,1st round,Washington Bullets,1988,6-8,"Hancock Central in Sparta, Georgia",Harvey Grant,Small Forward and Power Forward,Right,195lb
grantho01,"July 4, 1965","Augusta, Georgia",2.2,50.9,6.3,69.2,1165,16.0,11.2,8.1,118.2,50.9,Clemson University,10th overall,1st round,Chicago Bulls,1987,6-10,"Hancock Central in Sparta, Georgia",Horace Grant,Center and Power Forward,Right,215lb
grantje01,"March 12, 1994","Portland, Oregon",1.0,46.1,33.4,65.4,383,12.6,8.8,3.9,18.2,51.5,Syracuse University,39th overall,2nd round,Philadelphia 76ers,2014,6-9,"DeMatha in Hyattsville, Maryland",Jerami Grant,Small Forward and Power Forward,Right,220lb
grantje02,"October 9, 1992","Silver Spring, Maryland",2.9,41.2,32.4,77.1,273,12.6,6.1,1.9,8.3,47.3,University of Notre Dame,19th overall,1st round,Washington Wizards,2015,6-4,"DeMatha in Hyattsville, Maryland",Jerian Grant,Point Guard,Right,205lb
grantjo01,"August 7, 1967","Salt Lake City, Utah",0.5,40.4,27.9,75.9,53,11.7,3.0,1.7,0.5,46.2,University of Utah,43rd overall,2nd round,Denver Nuggets,1993,6-9,"East in Salt Lake City, Utah",Josh Grant,Power Forward,Right,223lb
grantpa01,"January 6, 1974","Pittsburgh, Pennsylvania",0.2,44.8,-,37.5,16,4.0,1.8,1.1,-0.1,44.8,"Boston College, University of Wisconsin",20th overall,1st round,Minnesota Timberwolves,1997,7-0,"Brother Rice in Birmingham, Michigan",Paul Grant,Center,Right,245lb
granttr01,"January 1, 1950","Clayton, Alabama",1.0,52.4,33.3,81.1,201,18.7,13.8,4.1,11.6,52.5,Kentucky State University,13th overall,1st round,Los Angeles Lakers,1972,6-7,"Barbour County Training School in Clayton, Alabama",Travis Grant,Small Forward,Right,215lb
